EEG.O1,EEG.O2
4201.410156,4188.846191
4193.974121,4191.410156
4189.615234000001,4188.0771479999985
4194.230957,4190.512695
4197.179688,4190.256348
4196.666504,4187.94873
4184.871582,4184.3588869999985
4176.9228520000015,4178.333496
4175.769043,4171.9228520000015
4159.230957,4165.897461
4149.743652,4166.9228520000015
4151.025879,4165.0
4160.897461,4170.6411130000015
4148.333496,4165.897461
4146.410156,4160.512695
4153.846191,4158.974121
4166.794922,4171.025879
4155.0,4167.820313
4155.128418,4165.384765999999
4168.0771479999985,4175.897461
4182.563965,4193.205078
4179.871582,4187.179688
4181.153809,4177.436035
4183.205078,4180.0
4179.615234000001,4184.3588869999985
4178.846191,4182.820313
4174.230957,4176.538574
4164.871582,4173.333496
4156.538574,4171.153809
4152.05127,4168.7177729999985
4160.487305,4171.615234000001
4168.9228520000015,4174.512695
4177.3588869999985,4177.410156
4185.794922,4180.307617
4194.230957,4183.205078
4225.256348,4204.871582
4173.333496,4171.410156
4147.307617,4154.871582
4153.974121,4158.333496
4142.94873,4151.538574
4119.743652,4139.102539
4136.538574,4150.6411130000015
4157.307617,4162.563965
4146.153809,4157.436035
4127.05127,4147.179688
4118.333496,4142.179688
4133.846191,4152.820313
4143.333496,4154.615234000001
4151.538574,4158.333496
4149.743652,4160.0
4159.230957,4165.512695
4160.769043,4166.153809
4162.307617,4168.461426
4164.487305,4167.179688
4170.897461,4172.05127
4158.461426,4166.153809
4152.692383,4162.820313
4152.307617,4165.384765999999
4168.589844,4178.333496
4176.025879,4179.615234000001
4165.0,4172.05127
4171.794922,4179.871582
4193.461426,4193.333496
4181.410156,4185.128418
4149.615234000001,4159.871582
4157.563965,4160.128418
4168.974121,4169.615234000001
4164.102539,4169.102539
4154.487305,4165.256348
4163.589844,4176.410156
4155.256348,4168.461426
4159.871582,4168.333496
4171.538574,4179.487305
4172.179688,4178.589844
4139.3588869999985,4153.0771479999985
4135.384765999999,4155.6411130000015
4156.538574,4170.512695
4145.6411130000015,4159.230957
4133.846191,4151.794922
4189.102539,4186.794922
4212.307617,4202.563965
4161.153809,4173.205078
4155.0,4166.410156
4184.102539,4179.230957
4179.871582,4179.3588869999985
4165.512695,4176.2822270000015
4184.871582,4189.102539
4165.512695,4173.974121
4138.7177729999985,4158.7177729999985
4151.2822270000015,4168.846191
4186.153809,4186.025879
4174.230957,4173.205078
4175.384765999999,4173.974121
4204.871582,4191.538574
4201.153809,4190.6411130000015
4172.436035,4175.128418
4193.846191,4188.589844
4203.589844,4195.0
4168.333496,4174.487305
4151.538574,4160.769043
4166.2822270000015,4166.9228520000015
4176.9228520000015,4176.410156
4167.05127,4171.410156
4164.102539,4169.871582
4159.230957,4168.461426
4169.487305,4178.589844
4166.2822270000015,4177.307617
4167.436035,4174.3588869999985
4171.794922,4175.256348
4179.487305,4183.589844
4169.230957,4176.666504
4171.2822270000015,4175.769043
4167.692383,4174.871582
4158.974121,4167.179688
4154.230957,4162.692383
4164.487305,4174.615234000001
4183.461426,4188.205078
4192.692383,4191.025879
4189.615234000001,4187.692383
4189.230957,4183.846191
4198.589844,4190.0
